Shares,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Value,tic
236000,,Sale at price 135.77 - 137.17 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-07-07,I,32191202.0,ABNB
600,,Sale at price 136.27 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-07-03,D,81762.0,ABNB
600,,Sale at price 130.33 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-06-26,D,78198.0,ABNB
236000,,Sale at price 127.74 - 130.39 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-06-23,I,30553187.0,ABNB
600,,Sale at price 132.27 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-06-20,D,79362.0,ABNB
600,,Sale at price 137.13 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-06-12,D,82278.0,ABNB
5000,,Sale at price 140.24 per share.,BERNSTEIN DAVID CHARLES,Officer,,2025-06-11,D,701200.0,ABNB
236000,,Sale at price 138.78 - 141.47 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-06-09,I,32897547.0,ABNB
16500,,Sale at price 140.45 - 143.35 per share.,CHESKY BRIAN,Chief Executive Officer,,2025-06-06,I,2329644.0,ABNB
6000,,Sale at price 135.00 - 137.00 per share.,BERNSTEIN DAVID CHARLES,Officer,,2025-06-05,D,820000.0,ABNB
5000,,Conversion of Exercise of derivative security at price 40.18 per share.,BERNSTEIN DAVID CHARLES,Officer,,2025-06-05,D,200900.0,ABNB
600,,Sale at price 133.50 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-06-05,D,80100.0,ABNB
6250,,Sale at price 132.28 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-06-04,D,826750.0,ABNB
4809,,Sale at price 128.85 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-06-02,D,619640.0,ABNB
8000,,Sale at price 127.84 - 129.38 per share.,CHESKY BRIAN,Chief Executive Officer,,2025-05-29,I,1026676.0,ABNB
1475,,Sale at price 130.00 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-05-29,D,191750.0,ABNB
238509,,Sale at price 127.87 - 129.11 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-05-28,D/I,30685950.0,ABNB
200000,,Stock Gift at price 0.00 per share.,CHESKY BRIAN,Chief Executive Officer,,2025-05-27,D,0.0,ABNB
170000,,,CHESKY BRIAN,Chief Executive Officer,,2025-05-23,D,,ABNB
3057,,Stock Award(Grant) at price 0.00 per share.,MANYIKA JAMES,Director,,2025-05-23,D,0.0,ABNB
2860,,Stock Award(Grant) at price 0.00 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-05-23,D,0.0,ABNB
3274,,Stock Award(Grant) at price 0.00 per share.,CHENAULT KENNETH I,Director,,2025-05-23,D,0.0,ABNB
2900,,Stock Award(Grant) at price 0.00 per share.,AHUJA AMRITA,Director,,2025-05-23,D,0.0,ABNB
3136,,Stock Award(Grant) at price 0.00 per share.,JORDAN JEFFREY D,Director,,2025-05-23,D,0.0,ABNB
3196,,Stock Award(Grant) at price 0.00 per share.,LIN ALFRED,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-05-23,D,0.0,ABNB
3156,,Stock Award(Grant) at price 0.00 per share.,AHRENDTS ANGELA J COUCH,Director,,2025-05-23,D,0.0,ABNB
214285,,Sale at price 132.01 - 133.53 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-05-20,I,28397328.0,ABNB
2245,,Sale at price 134.03 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-05-20,D,300897.0,ABNB
400,,,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-05-19,I,,ABNB
2826606,,,LIN ALFRED,Director,,2025-05-19,I,,ABNB
40000,,Stock Gift at price 0.00 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-05-16,I,0.0,ABNB
40000,,,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-05-16,I,,ABNB
214285,,Sale at price 121.86 - 124.15 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-05-06,I,26322888.0,ABNB
6250,,Sale at price 123.43 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-05-05,D,771438.0,ABNB
700,,Sale at price 123.28 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-04-29,D,86296.0,ABNB
214285,,Sale at price 112.79 - 115.34 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-04-22,I,24476145.0,ABNB
700,,Sale at price 112.59 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-04-22,D,78813.0,ABNB
700,,Sale at price 114.68 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-04-15,D,80276.0,ABNB
214285,,Sale at price 104.54 - 112.38 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-04-08,I,23304628.0,ABNB
700,,Sale at price 110.74 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-04-08,D,77518.0,ABNB
54203,,Stock Award(Grant) at price 0.00 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-04-02,D,0.0,ABNB
9855,,Stock Award(Grant) at price 0.00 per share.,BERNSTEIN DAVID CHARLES,Officer,,2025-04-02,D,0.0,ABNB
34493,,Stock Award(Grant) at price 0.00 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-04-02,D,0.0,ABNB
54203,,Stock Award(Grant) at price 0.00 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-04-02,D,0.0,ABNB
38459,,Sale at price 120.34 - 121.12 per share.,CHESKY BRIAN,Chief Executive Officer,,2025-04-01,D,4631913.0,ABNB
700,,Sale at price 119.67 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-04-01,D,83769.0,ABNB
214285,,Sale at price 128.83 - 130.18 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-03-25,I,27724150.0,ABNB
700,,Sale at price 129.55 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-03-25,D,90685.0,ABNB
2509150,,,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-03-20,I,,ABNB
700,,Sale at price 126.00 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-03-18,D,88200.0,ABNB
38461,,Sale at price 124.00 - 127.49 per share.,CHESKY BRIAN,Chief Executive Officer,,2025-03-17,D,4869215.0,ABNB
214285,,Sale at price 123.84 - 130.15 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-03-11,I,27170765.0,ABNB
700,,Sale at price 130.18 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-03-11,D,91126.0,ABNB
12336,,Sale at price 140.10 - 141.87 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-03-05,D,1739046.0,ABNB
700,,Sale at price 140.10 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-03-04,D,98070.0,ABNB
76923,,Sale at price 140.63 - 144.26 per share.,CHESKY BRIAN,Chief Executive Officer,,2025-03-03,D,10986139.0,ABNB
26154,,Sale at price 145.00 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-02-26,D,3792330.0,ABNB
26154,,Conversion of Exercise of derivative security at price 40.18 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-02-26,D,1050868.0,ABNB
214285,,Sale at price 140.75 - 145.03 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-02-25,I,30412436.0,ABNB
700,,Sale at price 145.01 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-02-25,D,101507.0,ABNB
32000,,,CHESKY BRIAN,Chief Executive Officer,,2025-02-24,I,,ABNB
2712,,Sale at price 156.32 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-02-20,D,423940.0,ABNB
36344,,Stock Gift at price 0.00 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-02-19,I,0.0,ABNB
36344,,,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-02-19,I,,ABNB
115385,,Sale at price 158.63 - 162.22 per share.,CHESKY BRIAN,Chief Executive Officer,,2025-02-18,D,18498063.0,ABNB
195,,Stock Award(Grant) at price 198.31 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2026-04-02,D,38670.0,ACN
101,,Stock Award(Grant) at price 198.31 per share.,BURGUM MELISSA A,Officer,,2026-04-02,D,20029.0,ACN
93,,Stock Award(Grant) at price 198.31 per share.,SHARMA MANISH,Officer,,2026-04-02,D,18443.0,ACN
139,,Stock Award(Grant) at price 198.31 per share.,PARK ANGIE Y,Chief Financial Officer,,2026-04-02,D,27565.0,ACN
88,,Stock Award(Grant) at price 198.31 per share.,CLIFFORD KATHERINE LEE,Officer,,2026-04-02,D,17451.0,ACN
108,,Stock Award(Grant) at price 198.31 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2026-04-02,D,21417.0,ACN
139,,Stock Award(Grant) at price 198.31 per share.,UNRUCH JOEL SCOTT,General Counsel,,2026-04-02,D,27565.0,ACN
139,,Stock Award(Grant) at price 198.31 per share.,WALSH JOHN F,Officer,,2026-04-02,D,27565.0,ACN
182,,Stock Award(Grant) at price 212.98 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2026-03-05,D,38762.0,ACN
94,,Stock Award(Grant) at price 212.98 per share.,BURGUM MELISSA A,Officer,,2026-03-05,D,20020.0,ACN
86,,Stock Award(Grant) at price 212.98 per share.,SHARMA MANISH,Officer,,2026-03-05,D,18316.0,ACN
129,,Stock Award(Grant) at price 212.98 per share.,PARK ANGIE Y,Chief Financial Officer,,2026-03-05,D,27474.0,ACN
82,,Stock Award(Grant) at price 212.98 per share.,CLIFFORD KATHERINE LEE,Officer,,2026-03-05,D,17464.0,ACN
101,,Stock Award(Grant) at price 212.98 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2026-03-05,D,21511.0,ACN
129,,Stock Award(Grant) at price 212.98 per share.,UNRUCH JOEL SCOTT,General Counsel,,2026-03-05,D,27474.0,ACN
129,,Stock Award(Grant) at price 212.98 per share.,WALSH JOHN F,Officer,,2026-03-05,D,27474.0,ACN
8,,Stock Award(Grant) at price 0.00 per share.,TRAVIS TRACEY THOMAS,Director,,2026-02-13,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,SARIN ARUN,Director,,2026-02-13,D,0.0,ACN
199,,Stock Award(Grant) at price 0.00 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2026-02-13,D,0.0,ACN
21,,Stock Award(Grant) at price 0.00 per share.,BURGUM MELISSA A,Officer,,2026-02-13,D,0.0,ACN
7,,Stock Award(Grant) at price 0.00 per share.,MCKINSTRY NANCY,Director,,2026-02-13,D,0.0,ACN
8,,Stock Award(Grant) at price 0.00 per share.,PRICE PAULA A,Director,,2026-02-13,D,0.0,ACN
54,,Stock Award(Grant) at price 0.00 per share.,SHARMA MANISH,Officer,,2026-02-13,D,0.0,ACN
8,,Stock Award(Grant) at price 0.00 per share.,JOPE ALAN C.,Director,,2026-02-13,D,0.0,ACN
6,,Stock Award(Grant) at price 0.00 per share.,BRUDERMUELLER MARTIN,Director,,2026-02-13,D,0.0,ACN
18,,Stock Award(Grant) at price 0.00 per share.,SEKIDO RYOJI,Officer,,2026-02-13,D,0.0,ACN
21,,Stock Award(Grant) at price 0.00 per share.,EGAWA ATSUSHI,Officer,,2026-02-13,D,0.0,ACN
27,,Stock Award(Grant) at price 0.00 per share.,MACCHI MAURO,Officer,,2026-02-13,D,0.0,ACN
32,,Stock Award(Grant) at price 0.00 per share.,PARK ANGIE Y,Chief Financial Officer,,2026-02-13,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,NASON JENNIFER,Director,,2026-02-13,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,UOTANI MASAHIKO,Director,,2026-02-13,D,0.0,ACN
39,,Stock Award(Grant) at price 0.00 per share.,CLIFFORD KATHERINE LEE,Officer,,2026-02-13,D,0.0,ACN
41,,Stock Award(Grant) at price 0.00 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2026-02-13,D,0.0,ACN
69,,Stock Award(Grant) at price 0.00 per share.,UNRUCH JOEL SCOTT,General Counsel,,2026-02-13,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,RENDUCHINTALA VENKATA S M,Director,,2026-02-13,D,0.0,ACN
57,,Stock Award(Grant) at price 0.00 per share.,WALSH JOHN F,Officer,,2026-02-13,D,0.0,ACN
6057,,Sale at price 236.11 - 243.15 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2026-02-10,D,1461102.0,ACN
162,,Stock Award(Grant) at price 238.73 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2026-02-05,D,38674.0,ACN
83,,Stock Award(Grant) at price 238.73 per share.,BURGUM MELISSA A,Officer,,2026-02-05,D,19815.0,ACN
76,,Stock Award(Grant) at price 238.73 per share.,SHARMA MANISH,Officer,,2026-02-05,D,18143.0,ACN
115,,Stock Award(Grant) at price 238.73 per share.,PARK ANGIE Y,Chief Financial Officer,,2026-02-05,D,27454.0,ACN
73,,Stock Award(Grant) at price 238.73 per share.,CLIFFORD KATHERINE LEE,Officer,,2026-02-05,D,17427.0,ACN
89,,Stock Award(Grant) at price 238.73 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2026-02-05,D,21247.0,ACN
115,,Stock Award(Grant) at price 238.73 per share.,UNRUCH JOEL SCOTT,General Counsel,,2026-02-05,D,27454.0,ACN
112,,Stock Award(Grant) at price 238.73 per share.,WALSH JOHN F,Officer,,2026-02-05,D,26738.0,ACN
14,,Sale at price 235.76 - 244.48 per share.,WALSH JOHN F,Officer,,2026-02-04,D,3389.0,ACN
5500,,Sale at price 238.93 - 249.75 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2026-02-03,D,1333121.0,ACN
15,,Sale at price 250.43 per share.,BURGUM MELISSA A,Officer,,2026-02-03,D,3756.0,ACN
98,,Sale at price 250.36 per share.,SHARMA MANISH,Officer,,2026-02-03,D,24535.0,ACN
1527,,Stock Award(Grant) at price 0.00 per share.,TRAVIS TRACEY THOMAS,Director,,2026-01-28,D,0.0,ACN
1344,,Stock Award(Grant) at price 0.00 per share.,SARIN ARUN,Director,,2026-01-28,D,0.0,ACN
1212,,Stock Award(Grant) at price 0.00 per share.,MCKINSTRY NANCY,Director,,2026-01-28,D,0.0,ACN
1454,,Stock Award(Grant) at price 0.00 per share.,PRICE PAULA A,Director,,2026-01-28,D,0.0,ACN
1491,,Stock Award(Grant) at price 0.00 per share.,JOPE ALAN C.,Director,,2026-01-28,D,0.0,ACN
914,,Stock Award(Grant) at price 0.00 per share.,BRUDERMUELLER MARTIN,Director,,2026-01-28,D,0.0,ACN
914,,Stock Award(Grant) at price 0.00 per share.,NASON JENNIFER,Director,,2026-01-28,D,0.0,ACN
914,,Stock Award(Grant) at price 0.00 per share.,UOTANI MASAHIKO,Director,,2026-01-28,D,0.0,ACN
914,,Stock Award(Grant) at price 0.00 per share.,RENDUCHINTALA VENKATA S M,Director,,2026-01-28,D,0.0,ACN
3986,,Sale at price 275.28 - 280.00 per share.,WALSH JOHN F,Officer,,2026-01-27,D,1101644.0,ACN
3588,,Sale at price 278.34 - 282.38 per share.,BURGUM MELISSA A,Officer,,2026-01-26,D,1008281.0,ACN
787,,Sale at price 276.62 - 283.25 per share.,CLIFFORD KATHERINE LEE,Officer,,2026-01-26,D,220985.0,ACN
660,,Sale at price 277.76 - 283.25 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2026-01-26,D,185412.0,ACN
1026,,Sale at price 280.22 - 283.69 per share.,UNRUCH JOEL SCOTT,General Counsel,,2026-01-23,D,289024.0,ACN
681,,Sale at price 274.19 - 284.84 per share.,CLIFFORD KATHERINE LEE,Officer,,2026-01-20,D,191108.0,ACN
1694,,Sale at price 276.61 - 290.92 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2026-01-14,D,488380.0,ACN
2731,,Sale at price 276.61 - 290.21 per share.,SHARMA MANISH,Officer,,2026-01-14,D,786871.0,ACN
500,,Sale at price 280.00 per share.,MACCHI MAURO,Officer,,2026-01-14,D,140000.0,ACN
500,,Sale at price 280.00 per share.,MACCHI MAURO,Officer,,2026-01-07,D,140000.0,ACN
1332,,Sale at price 275.00 per share.,UNRUCH JOEL SCOTT,General Counsel,,2026-01-06,D,366300.0,ACN
3477,,Stock Award(Grant) at price 0.00 - 263.11 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2026-01-05,D,38678.0,ACN
674,,Stock Award(Grant) at price 0.00 - 263.11 per share.,BURGUM MELISSA A,Officer,,2026-01-05,D,19997.0,ACN
1173,,Stock Award(Grant) at price 0.00 - 263.11 per share.,SHARMA MANISH,Officer,,2026-01-05,D,18418.0,ACN
1097,,Stock Award(Grant) at price 0.00 - 263.11 per share.,PARK ANGIE Y,Chief Financial Officer,,2026-01-05,D,27627.0,ACN
538,,Stock Award(Grant) at price 0.00 - 263.11 per share.,CLIFFORD KATHERINE LEE,Officer,,2026-01-05,D,17365.0,ACN
914,,Stock Award(Grant) at price 0.00 - 263.11 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2026-01-05,D,21312.0,ACN
1431,,Stock Award(Grant) at price 0.00 - 263.11 per share.,UNRUCH JOEL SCOTT,General Counsel,,2026-01-05,D,27627.0,ACN
1760,,Stock Award(Grant) at price 0.00 - 263.11 per share.,WALSH JOHN F,Officer,,2026-01-05,D,27364.0,ACN
22253,,Stock Award(Grant) at price 0.00 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2025-12-31,D,0.0,ACN
1302,,Stock Award(Grant) at price 0.00 per share.,BURGUM MELISSA A,Officer,,2025-12-31,D,0.0,ACN
5378,,Stock Award(Grant) at price 0.00 per share.,SHARMA MANISH,Officer,,2025-12-31,D,0.0,ACN
2410,,Stock Award(Grant) at price 0.00 per share.,SEKIDO RYOJI,Officer,,2025-12-31,D,0.0,ACN
2781,,Stock Award(Grant) at price 0.00 per share.,EGAWA ATSUSHI,Officer,,2025-12-31,D,0.0,ACN
3708,,Stock Award(Grant) at price 0.00 per share.,MACCHI MAURO,Officer,,2025-12-31,D,0.0,ACN
2781,,Stock Award(Grant) at price 0.00 per share.,PARK ANGIE Y,Chief Financial Officer,,2025-12-31,D,0.0,ACN
2132,,Stock Award(Grant) at price 0.00 per share.,CLIFFORD KATHERINE LEE,Officer,,2025-12-31,D,0.0,ACN
2225,,Stock Award(Grant) at price 0.00 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2025-12-31,D,0.0,ACN
4172,,Stock Award(Grant) at price 0.00 per share.,UNRUCH JOEL SCOTT,General Counsel,,2025-12-31,D,0.0,ACN
5192,,Stock Award(Grant) at price 0.00 per share.,WALSH JOHN F,Officer,,2025-12-31,D,0.0,ACN
5172,,Stock Award(Grant) at price 268.54 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2025-12-05,D,1388863.0,ACN
462,,Stock Award(Grant) at price 268.54 per share.,BURGUM MELISSA A,Officer,,2025-12-05,D,124063.0,ACN
1502,,Stock Award(Grant) at price 268.54 per share.,SHARMA MANISH,Officer,,2025-12-05,D,403340.0,ACN
1100,,Stock Award(Grant) at price 268.54 per share.,PARK ANGIE Y,Chief Financial Officer,,2025-12-05,D,295388.0,ACN
396,,Stock Award(Grant) at price 268.54 per share.,CLIFFORD KATHERINE LEE,Officer,,2025-12-05,D,106340.0,ACN
844,,Stock Award(Grant) at price 268.54 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2025-12-05,D,226644.0,ACN
1594,,Stock Award(Grant) at price 268.54 per share.,UNRUCH JOEL SCOTT,General Counsel,,2025-12-05,D,428045.0,ACN
2253,,Stock Award(Grant) at price 268.54 per share.,WALSH JOHN F,Officer,,2025-12-05,D,605009.0,ACN
7,,Stock Award(Grant) at price 0.00 per share.,TRAVIS TRACEY THOMAS,Director,,2025-11-14,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,SARIN ARUN,Director,,2025-11-14,D,0.0,ACN
333,,Stock Award(Grant) at price 0.00 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2025-11-14,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,ARDILA JAIME,Director,,2025-11-14,D,0.0,ACN
37,,Stock Award(Grant) at price 0.00 per share.,BURGUM MELISSA A,Officer,,2025-11-14,D,0.0,ACN
6,,Stock Award(Grant) at price 0.00 per share.,MCKINSTRY NANCY,Director,,2025-11-14,D,0.0,ACN
7,,Stock Award(Grant) at price 0.00 per share.,PRICE PAULA A,Director,,2025-11-14,D,0.0,ACN
93,,Stock Award(Grant) at price 0.00 per share.,SHARMA MANISH,Officer,,2025-11-14,D,0.0,ACN
7,,Stock Award(Grant) at price 0.00 per share.,JOPE ALAN C.,Director,,2025-11-14,D,0.0,ACN
6,,Stock Award(Grant) at price 0.00 per share.,BRUDERMUELLER MARTIN,Director,,2025-11-14,D,0.0,ACN
26,,Stock Award(Grant) at price 0.00 per share.,SEKIDO RYOJI,Officer,,2025-11-14,D,0.0,ACN
26,,Stock Award(Grant) at price 0.00 per share.,EGAWA ATSUSHI,Officer,,2025-11-14,D,0.0,ACN
26,,Stock Award(Grant) at price 0.00 per share.,MACCHI MAURO,Officer,,2025-11-14,D,0.0,ACN
26,,Stock Award(Grant) at price 0.00 per share.,PARK ANGIE Y,Chief Financial Officer,,2025-11-14,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,NASON JENNIFER,Director,,2025-11-14,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,UOTANI MASAHIKO,Director,,2025-11-14,D,0.0,ACN
32,,Stock Award(Grant) at price 0.00 per share.,CLIFFORD KATHERINE LEE,Officer,,2025-11-14,D,0.0,ACN
47,,Stock Award(Grant) at price 0.00 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2025-11-14,D,0.0,ACN
120,,Stock Award(Grant) at price 0.00 per share.,UNRUCH JOEL SCOTT,General Counsel,,2025-11-14,D,0.0,ACN
5,,Stock Award(Grant) at price 0.00 per share.,RENDUCHINTALA VENKATA S M,Director,,2025-11-14,D,0.0,ACN
93,,Stock Award(Grant) at price 0.00 per share.,WALSH JOHN F,Officer,,2025-11-14,D,0.0,ACN
157,,Stock Award(Grant) at price 245.88 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2025-11-05,D,38602.0,ACN
5917,,Sale at price 243.38 - 248.82 per share.,SWEET JULIE SPELLMAN,Chief Executive Officer,,2025-11-05,D,1459277.0,ACN
77,,Stock Award(Grant) at price 245.88 per share.,BURGUM MELISSA A,Officer,,2025-11-05,D,18932.0,ACN
75,,Stock Award(Grant) at price 245.88 per share.,SHARMA MANISH,Officer,,2025-11-05,D,18441.0,ACN
91,,Stock Award(Grant) at price 245.88 per share.,PARK ANGIE Y,Chief Financial Officer,,2025-11-05,D,22375.0,ACN
66,,Stock Award(Grant) at price 245.88 per share.,CLIFFORD KATHERINE LEE,Officer,,2025-11-05,D,16228.0,ACN
87,,Stock Award(Grant) at price 245.88 per share.,HOGAN CATHERINE KIERNAN,Chief Operating Officer,,2025-11-05,D,21391.0,ACN
112,,Stock Award(Grant) at price 245.88 per share.,UNRUCH JOEL SCOTT,General Counsel,,2025-11-05,D,27538.0,ACN
112,,Stock Award(Grant) at price 245.88 per share.,WALSH JOHN F,Officer,,2025-11-05,D,27538.0,ACN
8,,Stock Award(Grant) at price 212.05 per share.,EGAWA ATSUSHI,Officer,,2025-10-31,I,1696.0,ACN
27,,Stock Award(Grant) at price 212.05 per share.,CLIFFORD KATHERINE LEE,Officer,,2025-10-31,I,5725.0,ACN
